Player,Team,Position,GP,TOI,Goals,Total_Assists,Primary_Assist,Secondary_Assist,Total_Points,goals_per_60,assists_per_60,points_per_60,IPP,Shots,Shooting_Perc,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Perc
Ryan Dzingel,ARI,C,13,164.2000,2,2,2,0,4,0.731,0.731,1.462,57.14,13,15.38,1.24,25,20,17,8,1,1,10,2,0,2,0,1,4,4,5,6,5,25,32,43.86
Yegor Sharangovich,N.J,C,19,222.1167,2,2,2,0,4,0.540,0.540,1.081,57.14,28,7.14,2.22,53,39,25,9,8,0,2,1,1,0,0,2,11,7,6,15,6,13,29,30.95
Anders Bjork,BUF,L,22,240.1167,3,1,1,0,4,0.750,0.250,1.000,57.14,21,14.29,1.64,37,25,22,8,3,2,4,2,2,0,0,3,3,8,6,15,4,1,3,25.00
Ryan Lomberg,FLA,L,14,136.3167,2,2,1,1,4,0.880,0.880,1.761,57.14,25,8.00,1.74,43,32,29,9,1,0,19,4,2,1,1,2,3,5,34,18,0,0,1,0.00
Yegor Chinakhov,CBJ,R,17,185.8333,1,3,2,1,4,0.323,0.969,1.291,57.14,27,3.70,1.84,48,36,23,6,2,4,6,3,3,0,0,2,5,5,2,8,5,0,1,0.00
Gustav Forsling,FLA,D,21,366.4500,0,9,4,5,9,0.000,1.474,1.474,56.25,37,0.00,1.43,79,50,23,4,3,2,12,6,6,0,0,1,10,15,14,41,16,0,0,0.00
Michael Rasmussen,DET,C,24,294.9167,1,4,4,0,5,0.203,0.814,1.017,55.56,32,3.13,3.59,53,49,38,25,3,7,14,7,7,0,0,6,9,7,29,33,15,130,117,52.63
Jake Evans,MTL,C,21,266.4833,3,2,0,2,5,0.675,0.450,1.126,55.56,26,11.54,2.19,41,31,29,13,0,4,2,1,1,0,0,4,7,2,36,29,8,108,105,50.70
Gabriel Landeskog,COL,L,18,259.6167,4,7,4,3,11,0.924,1.618,2.542,55.00,33,12.12,3.95,53,41,41,23,1,5,14,7,7,0,0,1,7,5,23,20,10,61,60,50.41
Bowen Byram,COL,D,13,223.2000,3,3,1,2,6,0.806,0.806,1.613,54.55,22,13.64,1.02,48,32,15,3,0,4,6,3,3,0,0,1,4,1,15,25,13,0,0,0.00
Tony DeAngelo,CAR,D,20,278.2167,4,8,6,2,12,0.863,1.725,2.588,54.55,30,13.33,0.94,52,37,17,2,1,4,6,3,3,0,0,6,11,1,7,21,12,0,0,0.00
Miro Heiskanen,DAL,D,21,398.1000,0,6,2,4,6,0.000,0.904,0.904,54.55,38,0.00,2.34,75,50,27,7,0,4,8,4,4,0,0,4,20,9,14,35,19,0,0,0.00
Ryan O'Reilly,STL,C,19,266.6500,2,4,3,1,6,0.450,0.900,1.350,54.55,25,8.00,2.57,40,36,31,12,0,2,2,1,1,0,0,1,8,10,5,10,10,155,91,63.01
Joel Eriksson Ek,MIN,C,23,283.1667,3,3,2,1,6,0.636,0.636,1.271,54.55,44,6.82,2.41,68,51,35,13,2,3,2,1,1,0,0,10,1,3,31,30,13,130,118,52.42
Danton Heinen,PIT,L,23,246.5833,4,3,3,0,7,0.973,0.730,1.703,53.85,36,11.11,3.87,51,44,37,17,1,5,6,3,3,0,0,3,7,10,24,24,14,0,0,0.00
Justin Braun,PHI,D,21,340.9167,1,6,2,4,7,0.176,1.056,1.232,53.85,24,4.17,0.86,57,35,13,2,1,4,12,6,6,0,0,1,5,4,29,33,37,0,0,0.00
Seth Jarvis,CAR,C,15,173.9000,4,3,2,1,7,1.380,1.035,2.415,53.85,27,14.81,3.12,43,34,26,19,1,6,2,1,1,0,0,4,7,1,12,26,6,5,4,55.56
Roope Hintz,DAL,L,21,256.7667,6,1,1,0,7,1.402,0.234,1.636,53.85,44,13.64,5.17,77,65,64,33,1,9,6,3,3,0,0,3,8,1,21,15,9,57,53,51.82
Charlie Coyle,BOS,C,20,260.7000,5,2,2,0,7,1.151,0.460,1.611,53.85,28,17.86,2.47,38,36,21,10,0,3,6,3,3,0,0,2,11,7,30,14,4,82,90,47.67
Jonathan Dahlen,S.J,C,19,223.9167,5,3,2,1,8,1.340,0.804,2.144,53.33,24,20.83,3.20,43,36,36,24,14,0,0,0,0,0,0,1,7,1,5,7,7,0,0,0.00
Neal Pionk,WPG,D,22,377.7333,1,7,3,4,8,0.159,1.112,1.271,53.33,29,3.45,1.27,64,46,12,3,1,1,6,3,3,0,0,4,12,4,50,35,23,0,0,0.00
Mario Ferraro,S.J,D,23,461.6667,2,6,3,3,8,0.260,0.780,1.040,53.33,16,12.50,0.99,38,27,17,2,9,0,4,2,2,0,0,3,17,9,43,53,52,8,1,88.89
Ondrej Palat,T.B,L,22,300.2833,4,4,4,0,8,0.799,0.799,1.598,53.33,37,10.81,3.83,56,48,40,23,8,0,10,5,5,0,0,2,4,5,37,42,15,9,6,60.00
Vincent Trocheck,CAR,C,22,251.0833,2,6,1,5,8,0.478,1.434,1.912,53.33,26,7.69,3.27,55,46,35,18,2,4,12,6,6,0,0,4,3,6,41,25,4,127,120,51.42
Joel Farabee,PHI,L,21,244.8167,5,3,2,1,8,1.225,0.735,1.961,53.33,25,20.00,2.32,42,29,24,12,4,0,6,3,3,0,0,3,7,3,28,31,4,2,5,28.57
Josh Norris,OTT,C,21,297.9333,4,5,2,3,9,0.806,1.007,1.812,52.94,32,12.50,3.76,53,45,32,21,1,4,4,2,2,0,0,4,10,8,25,34,15,130,131,49.81
Owen Tippett,FLA,R,23,254.8333,3,6,5,1,9,0.706,1.413,2.119,52.94,37,8.11,3.02,58,47,34,11,0,3,6,3,3,0,0,2,11,18,22,26,8,8,19,29.63
Dmitry Orlov,WSH,D,24,435.7000,3,10,7,3,13,0.413,1.377,1.790,52.00,34,8.82,1.33,62,47,16,3,1,6,18,9,9,0,0,5,11,6,34,16,22,0,0,0.00
Jacob Bernard-Docker,OTT,D,2,22.5667,0,1,1,0,1,0.000,2.659,2.659,50.00,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0.00
Blake Comeau,DAL,L,6,61.9667,1,0,0,0,1,0.968,0.000,0.968,50.00,2,50.00,0.13,5,2,2,1,0,0,2,1,1,0,0,0,4,1,13,5,3,0,0,0.00
Gabriel Carlsson,CBJ,D,7,73.7333,1,1,1,0,2,0.814,0.814,1.627,50.00,4,25.00,0.25,10,6,5,1,0,1,0,0,0,0,0,1,0,1,5,10,4,0,0,0.00
Derek Forbort,BOS,D,20,300.2000,4,1,0,1,5,0.799,0.200,0.999,50.00,18,22.22,0.50,36,24,6,1,1,2,4,2,2,0,0,1,9,5,19,27,13,0,0,0.00
Ryan Merkley,S.J,D,6,81.4833,1,0,0,0,1,0.736,0.000,0.736,50.00,6,16.67,0.19,19,9,6,0,1,0,2,1,1,0,0,1,4,1,0,2,4,0,0,0.00
Anthony Mantha,WSH,R,10,109.0667,2,2,2,0,4,1.100,1.100,2.200,50.00,14,14.29,1.36,20,16,14,7,1,2,2,1,1,0,0,0,3,3,7,8,6,0,0,0.00
Josh Mahura,ANA,D,10,134.9333,1,1,0,1,2,0.445,0.445,0.889,50.00,8,12.50,0.64,19,15,7,2,0,1,0,0,0,0,0,1,5,0,17,21,12,0,0,0.00
Alex Goligoski,MIN,D,20,308.9000,2,10,5,5,12,0.388,1.942,2.331,50.00,17,11.76,0.44,40,22,10,0,0,4,10,5,5,0,0,1,6,3,17,24,19,0,0,0.00
Devon Toews,COL,D,11,194.4333,2,4,1,3,6,0.617,1.234,1.852,50.00,17,11.76,0.82,32,25,6,2,0,2,0,0,0,0,0,4,3,3,10,4,7,0,0,0.00
Michael Del Zotto,OTT,D,10,143.5167,1,3,1,2,4,0.418,1.254,1.672,50.00,10,10.00,0.24,23,17,2,0,0,0,4,2,2,0,0,0,5,1,22,11,9,0,0,0.00
Aaron Ekblad,FLA,D,23,411.5500,5,9,4,5,14,0.729,1.312,2.041,50.00,52,9.62,2.34,81,68,27,10,2,8,8,4,4,0,0,2,18,11,18,19,19,0,0,0.00
Daniel Sprong,WSH,R,21,241.0000,3,3,2,1,6,0.747,0.747,1.494,50.00,41,7.32,3.32,72,58,45,15,7,6,0,0,0,0,0,1,8,7,15,14,6,0,0,0.00
Lucas Carlsson,FLA,D,8,99.4333,1,2,1,1,3,0.603,1.207,1.810,50.00,14,7.14,0.58,26,18,11,1,0,3,2,1,1,0,0,0,2,2,10,10,6,0,0,0.00
Artem Zub,OTT,D,21,378.7000,1,6,2,4,7,0.158,0.951,1.109,50.00,17,5.88,0.90,38,26,13,3,0,4,14,7,7,0,0,2,18,1,34,33,36,0,0,0.00
Jonas Brodin,MIN,D,23,397.7333,2,5,1,4,7,0.302,0.754,1.056,50.00,36,5.56,1.18,58,43,17,4,0,5,2,1,1,0,0,2,6,4,14,32,29,0,0,0.00
Alexander Edler,L.A,D,22,360.9500,1,8,6,2,9,0.166,1.330,1.496,50.00,30,3.33,0.91,69,45,23,5,14,0,14,7,7,0,0,3,7,1,35,37,32,0,0,0.00
Denis Gurianov,DAL,R,20,226.2167,1,1,1,0,2,0.265,0.265,0.530,50.00,30,3.33,1.96,70,44,34,11,2,4,4,2,2,0,0,0,13,0,21,16,11,0,0,0.00
Erik Gudbranson,CGY,D,23,334.0500,0,5,2,3,5,0.000,0.898,0.898,50.00,34,0.00,0.87,67,46,8,1,3,1,8,4,4,0,0,1,10,5,23,50,17,0,0,0.00
Olli Maatta,L.A,D,15,211.7667,0,2,0,2,2,0.000,0.567,0.567,50.00,9,0.00,0.28,21,12,7,0,3,0,0,0,0,0,0,1,9,4,12,23,22,0,0,0.00
Lassi Thomson,OTT,D,8,118.4500,0,2,0,2,2,0.000,1.013,1.013,50.00,5,0.00,0.15,15,6,4,0,0,3,2,1,1,0,0,2,0,3,14,13,3,0,0,0.00
Travis Hamonic,VAN,D,7,116.0500,0,1,1,0,1,0.000,0.517,0.517,50.00,10,0.00,0.41,21,13,3,0,0,0,0,0,0,0,0,2,7,1,10,10,13,0,0,0.00
Scott Harrington,CBJ,D,6,77.0167,0,1,0,1,1,0.000,0.779,0.779,50.00,4,0.00,0.15,6,5,2,1,0,1,0,0,0,0,0,1,0,2,6,9,7,0,0,0.00
Nicolas Meloche,S.J,D,6,93.1000,0,1,0,1,1,0.000,0.644,0.644,50.00,7,0.00,0.19,17,8,7,1,2,0,0,0,0,0,0,1,5,0,13,8,8,0,0,0.00
Cam Dineen,ARI,D,8,99.8833,0,1,1,0,1,0.000,0.601,0.601,50.00,7,0.00,0.23,15,10,5,0,1,2,0,0,0,0,0,1,0,0,3,11,9,0,0,0.00
Kale Clague,L.A,D,11,143.7500,0,1,1,0,1,0.000,0.417,0.417,50.00,3,0.00,0.17,11,5,7,0,1,0,2,1,1,0,0,0,4,1,0,17,7,0,0,0.00
Kieffer Bellows,NYI,L,5,53.2667,0,1,1,0,1,0.000,1.126,1.126,50.00,3,0.00,0.53,10,7,6,2,1,1,2,1,1,0,0,0,0,2,15,6,2,0,0,0.00
Riley Stillman,CHI,D,12,154.9167,0,1,1,0,1,0.000,0.387,0.387,50.00,6,0.00,0.20,25,10,4,1,0,0,2,1,1,0,0,2,5,3,33,17,12,0,0,0.00
